Ranking HLTV,Pontos HLTV,Time,Line,Nacionalidade,Posição Ranking Valve,Perfil do time,Perfil de Estatisticas,Maps Played,Wins,Losses,Total Kills,Rounds Played,K/D Ratio
1,985,G2,"Snax, NiKo, huNter-, malbsMd, m0NESY",Europe,1,https://www.hltv.org/team/5995/g2,https://www.hltv.org/stats/teams/5995/g2?startDate=2024-01-01&endDate=2024-12-16,183,116,67,13291,3946,1.05
2,963,Spirit,"chopper, sh1ro, magixx, zont1x, donk",Russia,2,https://www.hltv.org/team/7020/spirit,https://www.hltv.org/stats/teams/7020/spirit?startDate=2024-01-01&endDate=2024-12-16,161,109,52,11890,3408,1.12
3,785,Natus Vincere,"Aleksib, iM, b1t, jL, w0nderful",Europe,7,https://www.hltv.org/team/4608/natus-vincere,https://www.hltv.org/stats/teams/4608/natus-vincere?startDate=2024-01-01&endDate=2024-12-16,170,109,61,12384,3647,1.07
4,670,Vitality,"apEX, ZywOo, flameZ, Spinx, mezii",Europe,3,https://www.hltv.org/team/9565/vitality,https://www.hltv.org/stats/teams/9565/vitality?startDate=2024-01-01&endDate=2024-12-16,145,95,50,11023,3187,1.1
5,668,FaZe,"karrigan, rain, frozen, ropz, broky",Europe,5,https://www.hltv.org/team/6667/faze,https://www.hltv.org/stats/teams/6667/faze?startDate=2024-01-01&endDate=2024-12-16,189,110,79,14056,4174,1.03
6,607,MOUZ,"Brollan, siuhy, torzsi, Jimpphat, xertioN",Europe,6,https://www.hltv.org/team/4494/mouz,https://www.hltv.org/stats/teams/4494/mouz?startDate=2024-01-01&endDate=2024-12-16,154,96,58,11534,3364,1.06
7,431,The MongolZ,"bLitz, Techno, Senzu, mzinho, 910",Mongolia,4,https://www.hltv.org/team/6248/the-mongolz,https://www.hltv.org/stats/teams/6248/the-mongolz?startDate=2024-01-01&endDate=2024-12-16,192,126,66,14730,4227,1.09
8,390,HEROIC,"NertZ, TeSeS, sjuush, degster, kyxsan",Europe,8,https://www.hltv.org/team/7175/heroic,https://www.hltv.org/stats/teams/7175/heroic?startDate=2024-01-01&endDate=2024-12-16,209,118,91,15428,4582,1.03
9,371,Liquid,"jks, NAF, Twistzz, YEKINDAR, ultimate",Other,9,https://www.hltv.org/team/5973/liquid,https://www.hltv.org/stats/teams/5973/liquid?startDate=2024-01-01&endDate=2024-12-16,191,117,74,13925,4078,1.09
10,299,FURIA,"FalleN, chelo, yuurih, KSCERATO, skullz",Brazil,10,https://www.hltv.org/team/8297/furia,https://www.hltv.org/stats/teams/8297/furia?startDate=2024-01-01&endDate=2024-12-16,164,88,76,11434,3515,1.01
11,256,Astralis,"device, cadiaN, stavn, jabbi, Staehr",Denmark,18,https://www.hltv.org/team/6665/astralis,https://www.hltv.org/stats/teams/6665/astralis?startDate=2024-01-01&endDate=2024-12-16,137,74,63,9953,2966,1.04
12,243,Eternal Fire,"MAJ3R, XANTARES, woxic, Calyx, Wicadia",Turkey,13,https://www.hltv.org/team/11251/eternal-fire,https://www.hltv.org/stats/teams/11251/eternal-fire?startDate=2024-01-01&endDate=2024-12-16,153,89,64,11348,3380,1.05
13,212,MIBR,"exit, Lucaozy, saffee, drop, insani",Brazil,14,https://www.hltv.org/team/9215/mibr,https://www.hltv.org/stats/teams/9215/mibr?startDate=2024-01-01&endDate=2024-12-16,256,156,100,18137,5371,1.07
14,200,paiN,"biguzera, nqz, kauez, snow, lux",Brazil,11,https://www.hltv.org/team/4773/pain,https://www.hltv.org/stats/teams/4773/pain?startDate=2024-01-01&endDate=2024-12-16,319,213,106,23137,6812,1.08
15,180,Virtus.pro,"electroNic, FL1T, n0rb3r7, fame",Russia,21,https://www.hltv.org/team/5378/virtuspro,https://www.hltv.org/stats/teams/5378/virtus.pro?startDate=2024-01-01&endDate=2024-12-16,165,87,78,11668,3601,1.03
16,159,3DMAX,"Maka, Lucky, Djoko, Ex3rcice, Graviti",France,12,https://www.hltv.org/team/4914/3dmax,https://www.hltv.org/stats/teams/4914/3dmax?startDate=2024-01-01&endDate=2024-12-16,319,185,134,23647,6994,1.03
17,157,Complexity,"EliGE, JT, hallzerk, Grim",Europe,16,https://www.hltv.org/team/5005/complexity,https://www.hltv.org/stats/teams/5005/complexity?startDate=2024-01-01&endDate=2024-12-16,137,71,66,10063,3035,1.01
18,156,GamerLegion,"ztr, Tauson, volt, sl3nd, FL4MUS",Europe,17,https://www.hltv.org/team/9928/gamerlegion,https://www.hltv.org/stats/teams/9928/gamerlegion?startDate=2024-01-01&endDate=2024-12-16,212,111,101,15412,4712,0.98
19,146,BIG,"tabseN, syrsoN, rigoN, JDC, Krimbo",Germany,20,https://www.hltv.org/team/7532/big,https://www.hltv.org/stats/teams/7532/big?startDate=2024-01-01&endDate=2024-12-16,180,84,96,12952,3929,0.99
20,135,SAW,"MUTiRiS, roman, story, Ag1l, Shr",Portugal,15,https://www.hltv.org/team/10567/saw,https://www.hltv.org/stats/teams/10567/saw?startDate=2024-01-01&endDate=2024-12-16,201,119,82,14434,4345,1.02
21,134,Wildcard,"stanislaw, Sonic, phzy, susp, JBa",Other,22,https://www.hltv.org/team/12257/wildcard,https://www.hltv.org/stats/teams/12257/wildcard?startDate=2024-01-01&endDate=2024-12-16,219,136,83,16102,4663,1.05
