Nome,Nick,Link,Nome,Nick,Link,rating 2.0,DPR,KAST,Impact,ADR,KPR,Kills per round,Kills per round_ct,Kills per round_tr,Rounds with a kill,Rounds with a kill_ct,Rounds with a kill_tr,Kills per round win,Kills per round win_ct,Kills per round win_tr,Rating 2.0,Rating 2.0_ct,Rating 2.0_tr,Damage per round,Damage per round_ct,Damage per round_tr,Rounds with a multi-kill,Rounds with a multi-kill_ct,Rounds with a multi-kill_tr,Damage per round win,Damage per round win_ct,Damage per round win_tr,Pistol round rating,Pistol round rating_ct,Pistol round rating_tr,Saved by teammate per round,Saved by teammate per round_ct,Saved by teammate per round_tr,Traded deaths per round,Traded deaths per round_ct,Traded deaths per round_tr,Traded deaths percentage,Traded deaths percentage_ct,Traded deaths percentage_tr,Opening deaths traded percentage,Opening deaths traded percentage_ct,Opening deaths traded percentage_tr,Assists per round,Assists per round_ct,Assists per round_tr,Support rounds,Support rounds_ct,Support rounds_tr,Saved teammate per round,Saved teammate per round_ct,Saved teammate per round_tr,Trade kills per round,Trade kills per round_ct,Trade kills per round_tr,Trade kills percentage,Trade kills percentage_ct,Trade kills percentage_tr,Assisted kills percentage,Assisted kills percentage_ct,Assisted kills percentage_tr,Damage per kill,Damage per kill_ct,Damage per kill_tr,Opening kills per round,Opening kills per round_ct,Opening kills per round_tr,Opening deaths per round,Opening deaths per round_ct,Opening deaths per round_tr,Opening attempts,Opening attempts_ct,Opening attempts_tr,Opening success,Opening success_ct,Opening success_tr,Win% after opening kill,Win% after opening kill_ct,Win% after opening kill_tr,Attacks per round,Attacks per round_ct,Attacks per round_tr,Clutch points per round,Clutch points per round_ct,Clutch points per round_tr,Last alive percentage,Last alive percentage_ct,Last alive percentage_tr,1on1 win percentage,1on1 win percentage_ct,1on1 win percentage_tr,Time alive per round,Time alive per round_ct,Time alive per round_tr,Saves per round loss,Saves per round loss_ct,Saves per round loss_tr,Sniper kills per round,Sniper kills per round_ct,Sniper kills per round_tr,Sniper kills percentage,Sniper kills percentage_ct,Sniper kills percentage_tr,Rounds with sniper kills percentage,Rounds with sniper kills percentage_ct,Rounds with sniper kills percentage_tr,Sniper multi-kill rounds,Sniper multi-kill rounds_ct,Sniper multi-kill rounds_tr,Sniper opening kills per round,Sniper opening kills per round_ct,Sniper opening kills per round_tr,Utility damage per round,Utility damage per round_ct,Utility damage per round_tr,Utility kills per 100 rounds,Utility kills per 100 rounds_ct,Utility kills per 100 rounds_tr,Flashes thrown per round,Flashes thrown per round_ct,Flashes thrown per round_tr,Flash assists per round,Flash assists per round_ct,Flash assists per round_tr,Time opponent flashed per round,Time opponent flashed per round_ct,Time opponent flashed per round_tr
Aliaksandr Nahorny,1eeR,https://www.hltv.org/stats/players/21266/1eer,Aliaksandr Nahorny,1eeR,https://www.hltv.org/stats/players/21266/1eer,0.98,0.66,70.9%,0.92,68.3,0.6,0.60,0.64,0.57,42.3%,44.5%,40.3%,0.82,0.86,0.77,0.98,0.98,0.98,68.3,72.2,64.6,14.0%,14.9%,13.2%,87.4,91.6,83.4,0.95,0.89,1.02,0.12,0.10,0.13,0.15,0.14,0.17,23.3%,21.5%,24.8%,27.6%,23.9%,30.2%,0.18,0.20,0.15,21.6%,24.3%,19.0%,0.10,0.08,0.11,0.13,0.11,0.14,21.3%,18.0%,24.8%,24.6%,26.0%,23.2%,114,114,114,0.08,0.09,0.07,0.10,0.08,0.11,17.5%,16.8%,18.2%,45.1%,52.4%,38.6%,71.9%,69.1%,75.2%,2.75,2.98,2.54,0.02,0.01,0.02,9.6%,8.9%,10.4%,60.1%,59.2%,61.2%,1m 8s,1m 7s,1m 8s,7.6%,12.1%,3.3%,0.00,0.01,0.00,0.8%,0.9%,0.6%,0.4%,0.5%,0.3%,0.0007,0.0003,0.001,0.0,0.0,0.0,5.83,7.09,4.61,1.08,1.06,1.11,0.54,0.37,0.69,0.05,0.04,0.06,2.52,2.84,2.35
Usukhbayar Banzragch,910,https://www.hltv.org/stats/players/21809/910,Usukhbayar Banzragch,910,https://www.hltv.org/stats/players/21809/910,1.1,0.62,71.7%,1.09,72.2,0.71,0.71,0.74,0.68,48.2%,50.1%,46.4%,0.92,0.98,0.86,1.10,1.10,1.11,72.2,74.7,69.9,17.2%,18.2%,16.2%,90.8,95.1,86.7,1.10,1.01,1.19,0.08,0.06,0.10,0.10,0.09,0.12,16.7%,14.6%,18.6%,22.5%,15.1%,30.0%,0.11,0.12,0.11,18.7%,19.7%,17.7%,0.10,0.08,0.13,0.15,0.12,0.17,21.2%,16.9%,25.7%,22.7%,22.6%,22.8%,102,101,103,0.11,0.13,0.08,0.08,0.08,0.08,18.5%,21.1%,15.9%,57.0%,61.5%,51.2%,75.0%,73.9%,76.5%,1.94,1.91,1.97,0.03,0.02,0.04,13.9%,12.5%,15.2%,55.0%,50.0%,61.8%,1m 7s,1m 7s,1m 7s,6.9%,12.0%,1.9%,0.33,0.41,0.25,46.0%,55.1%,36.4%,26.6%,32.8%,20.5%,0.09,0.11,0.06,0.07,0.10,0.05,2.79,3.01,2.58,0.63,0.55,0.72,0.54,0.38,0.69,0.05,0.03,0.07,2.36,2.51,2.27
Frederik Gyldstrand,acoR,https://www.hltv.org/stats/players/10330/acor,Frederik Gyldstrand,acoR,https://www.hltv.org/stats/players/10330/acor,1.06,0.63,70.0%,1.09,72.5,0.7,0.70,0.75,0.65,47.2%,49.9%,44.5%,0.96,1.02,0.88,1.06,1.16,0.97,72.5,77.5,67.6,17.4%,19.2%,15.6%,94.4,100.2,88.2,1.06,1.12,1.00,0.09,0.07,0.10,0.11,0.11,0.12,18.3%,17.8%,18.7%,20.2%,15.7%,24.5%,0.10,0.12,0.09,17.0%,18.4%,15.6%,0.10,0.08,0.11,0.14,0.12,0.16,19.4%,15.3%,24.1%,18.9%,19.5%,18.3%,103,103,104,0.11,0.14,0.08,0.09,0.09,0.09,19.9%,22.5%,17.3%,55.5%,61.2%,48.2%,75.2%,75.0%,75.7%,2.01,2.13,1.89,0.02,0.01,0.03,13.1%,10.6%,15.6%,57.4%,47.5%,68.7%,1m 9s,1m 11s,1m 8s,7.7%,13.5%,2.5%,0.32,0.39,0.25,45.7%,51.7%,38.8%,24.2%,29.1%,19.3%,0.08,0.11,0.06,0.07,0.10,0.04,3.85,5.01,2.69,0.99,1.30,0.67,0.72,0.54,0.89,0.07,0.05,0.08,2.30,2.55,2.14
Adam Ångström,adamb,https://www.hltv.org/stats/players/20878/adamb,Adam Ångström,adamb,https://www.hltv.org/stats/players/20878/adamb,1.08,0.68,72.5%,1.11,75.4,0.68,0.68,0.69,0.66,46.0%,46.6%,45.5%,0.92,0.95,0.90,1.08,1.06,1.11,75.4,77.6,73.2,16.5%,17.3%,15.8%,97.1,99.1,95.0,1.05,0.98,1.12,0.12,0.10,0.15,0.16,0.14,0.19,24.2%,21.5%,26.5%,30.6%,27.2%,33.3%,0.16,0.17,0.16,19.4%,22.8%,16.1%,0.10,0.07,0.13,0.13,0.11,0.15,19.0%,15.7%,22.5%,20.3%,20.8%,19.7%,111,112,111,0.12,0.12,0.11,0.12,0.11,0.14,23.9%,23.0%,24.8%,48.5%,52.8%,44.6%,72.8%,71.4%,74.3%,2.69,2.95,2.43,0.02,0.01,0.02,8.0%,8.0%,8.1%,66.0%,54.4%,83.3%,1m 5s,1m 6s,1m 4s,6.5%,12.0%,1.2%,0.00,0.00,0.00,0.3%,0.3%,0.3%,0.2%,0.2%,0.2%,0.0003,0.0003,0.0003,0.0,0.0,0.0,3.22,4.18,2.26,0.52,0.66,0.37,0.32,0.27,0.36,0.02,0.02,0.02,2.14,2.49,1.88
Adam Marian,adamS,https://www.hltv.org/stats/players/19698/adams,Adam Marian,adamS,https://www.hltv.org/stats/players/19698/adams,1.07,0.66,71.6%,1.04,76.6,0.67,0.67,0.73,0.61,46.3%,49.3%,43.2%,0.93,1.00,0.85,1.07,1.12,1.02,76.6,83.0,70.2,16.1%,18.5%,13.7%,98.6,105.0,91.9,1.08,1.07,1.10,0.10,0.08,0.11,0.13,0.11,0.15,19.3%,17.3%,20.9%,24.4%,20.1%,27.5%,0.16,0.17,0.14,20.1%,22.3%,17.9%,0.11,0.09,0.12,0.15,0.14,0.16,21.9%,18.7%,25.8%,19.6%,20.0%,19.1%,114,113,115,0.10,0.11,0.09,0.09,0.08,0.11,19.3%,19.1%,19.6%,50.9%,58.6%,43.5%,73.1%,72.5%,73.9%,3.04,3.39,2.69,0.02,0.02,0.03,11.1%,10.3%,11.9%,60.4%,53.1%,71.3%,1m 6s,1m 6s,1m 5s,8.2%,14.2%,2.7%,0.01,0.00,0.01,0.8%,0.7%,0.9%,0.5%,0.5%,0.5%,0.0006,0.0007,0.0005,0.0002,0.0005,0.0,5.06,6.08,4.05,0.99,0.98,1.00,0.37,0.29,0.46,0.03,0.03,0.03,2.42,2.89,2.13
Zhuo Liang,advent,https://www.hltv.org/stats/players/8600/advent,Zhuo Liang,advent,https://www.hltv.org/stats/players/8600/advent,0.85,0.64,70.8%,0.75,61.3,0.55,0.55,0.58,0.51,40.0%,42.0%,38.0%,0.71,0.76,0.66,0.85,0.92,0.80,61.3,66.6,55.9,11.8%,12.9%,10.7%,70.3,75.9,64.2,0.77,0.84,0.71,0.12,0.09,0.13,0.15,0.13,0.16,22.6%,21.0%,24.1%,30.8%,24.1%,37.2%,0.13,0.16,0.10,23.2%,24.7%,19.3%,0.09,0.07,0.11,0.13,0.10,0.15,23.1%,17.4%,29.6%,23.5%,23.3%,23.8%,107,109,104,0.06,0.08,0.05,0.07,0.07,0.08,13.7%,14.9%,12.5%,45.4%,51.5%,37.8%,74.7%,73.4%,77.0%,2.55,2.73,2.13,0.02,0.01,0.02,9.2%,7.9%,10.5%,60.0%,50.9%,71.4%,1m 1s,1m 2s,1m 0s,4.9%,8.9%,1.1%,0.00,0.00,0.00,0.5%,0.5%,0.5%,0.3%,0.3%,0.3%,0.0004,0.0005,0.0004,0.0001,0.0002,0.0,4.51,6.17,2.82,0.85,0.93,0.64,0.88,0.72,1.07,0.07,0.05,0.09,1.94,2.07,1.85
Aurélien Drapier,afro,https://www.hltv.org/stats/players/19926/afro,Aurélien Drapier,afro,https://www.hltv.org/stats/players/19926/afro,1.1,0.63,70.2%,1.12,72.6,0.7,0.70,0.76,0.64,47.2%,49.9%,44.5%,0.95,1.04,0.86,1.10,1.13,1.06,72.6,78.5,66.7,17.2%,19.4%,15.1%,94.5,102.2,86.6,1.09,1.14,1.05,0.08,0.07,0.10,0.11,0.10,0.12,17.6%,16.7%,18.4%,21.4%,17.4%,25.2%,0.11,0.12,0.09,17.7%,18.6%,16.8%,0.09,0.08,0.11,0.13,0.11,0.14,18.1%,14.4%,22.4%,19.0%,19.4%,18.6%,103,103,104,0.12,0.15,0.10,0.09,0.09,0.09,21.6%,23.8%,19.3%,56.7%,61.5%,50.9%,73.2%,72.2%,74.6%,2.07,2.21,1.94,0.02,0.02,0.03,12.6%,10.2%,14.9%,60.4%,50.5%,72.5%,1m 8s,1m 7s,1m 10s,7.5%,12.8%,2.6%,0.34,0.40,0.27,47.5%,52.7%,41.4%,25.2%,29.6%,20.9%,0.09,0.11,0.06,0.08,0.10,0.06,4.83,6.21,3.47,1.04,1.32,0.76,0.80,0.55,1.04,0.08,0.06,0.09,2.55,2.86,2.38
André Gil,Ag1l,https://www.hltv.org/stats/players/21014/ag1l,André Gil,Ag1l,https://www.hltv.org/stats/players/21014/ag1l,1.01,0.66,70.8%,0.92,71.6,0.65,0.65,0.69,0.61,45.3%,47.9%,42.7%,0.89,0.96,0.82,1.01,1.04,0.98,71.6,76.3,66.9,15.2%,16.8%,13.8%,91.7,97.9,85.4,1.01,0.97,1.05,0.10,0.09,0.11,0.13,0.13,0.14,20.2%,20.7%,19.7%,27.5%,24.8%,29.9%,0.14,0.16,0.13,19.9%,21.9%,18.0%,0.12,0.10,0.14,0.16,0.14,0.17,24.3%,20.8%,28.4%,22.5%,23.3%,21.7%,110,110,110,0.07,0.09,0.06,0.08,0.07,0.08,14.7%,15.9%,13.5%,48.5%,55.0%,40.9%,70.2%,66.5%,76.1%,2.80,3.09,2.51,0.02,0.02,0.03,10.9%,9.5%,12.4%,59.4%,52.9%,67.1%,1m 8s,1m 8s,1m 7s,7.4%,13.1%,2.0%,0.01,0.01,0.01,1.2%,1.4%,1.0%,0.7%,0.8%,0.5%,0.002,0.002,0.002,0.001,0.0008,0.001,4.92,6.30,3.55,0.85,1.02,0.69,0.67,0.51,0.82,0.05,0.04,0.05,2.36,2.50,2.28
Jussi Airaksinen,Airax,https://www.hltv.org/stats/players/20593/airax,Jussi Airaksinen,Airax,https://www.hltv.org/stats/players/20593/airax,0.92,0.74,65.5%,0.98,70.8,0.61,0.61,0.66,0.55,42.2%,45.2%,39.3%,0.90,0.95,0.85,0.92,0.98,0.87,70.8,77.5,64.2,14.0%,15.8%,12.2%,97.0,102.0,91.4,0.93,0.92,0.94,0.10,0.08,0.12,0.15,0.14,0.17,20.3%,19.8%,20.7%,24.0%,24.4%,23.8%,0.15,0.18,0.12,16.6%,19.9%,13.3%,0.07,0.06,0.08,0.10,0.09,0.11,16.8%,14.0%,20.2%,17.7%,19.3%,15.8%,117,117,117,0.11,0.12,0.10,0.15,0.13,0.18,26.6%,25.0%,28.3%,42.0%,48.8%,36.0%,70.1%,69.3%,71.0%,2.76,3.15,2.39,0.01,0.01,0.02,7.0%,6.0%,8.1%,69.6%,72.1%,65.9%,0m 59s,1m 0s,0m 57s,4.8%,9.0%,1.1%,0.01,0.02,0.01,2.3%,3.4%,1.0%,1.2%,2.0%,0.5%,0.002,0.004,0.001,0.003,0.006,0.001,5.46,7.56,3.42,0.87,1.15,0.59,0.51,0.32,0.69,0.04,0.03,0.04,2.32,2.43,2.27
Aleksi Virolainen,Aleksib,https://www.hltv.org/stats/players/9816/aleksib,Aleksi Virolainen,Aleksib,https://www.hltv.org/stats/players/9816/aleksib,0.94,0.65,71.1%,0.98,72.2,0.62,0.62,0.68,0.56,43.5%,46.8%,40.2%,0.85,0.91,0.77,0.94,1.05,0.83,72.2,78.3,66.0,14.4%,16.2%,12.4%,91.9,97.6,85.5,0.89,0.97,0.81,0.11,0.08,0.13,0.15,0.12,0.17,22.3%,20.6%,23.8%,27.1%,23.3%,29.4%,0.17,0.19,0.15,20.8%,23.7%,17.8%,0.09,0.08,0.11,0.12,0.12,0.13,19.7%,17.0%,23.1%,21.3%,23.4%,18.8%,116,115,118,0.09,0.10,0.09,0.11,0.08,0.14,20.3%,17.9%,22.6%,46.7%,55.3%,39.7%,74.1%,73.7%,74.6%,3.10,3.46,2.71,0.01,0.01,0.01,8.5%,7.5%,9.5%,55.2%,45.7%,66.7%,1m 8s,1m 8s,1m 8s,6.6%,12.0%,1.6%,0.02,0.03,0.01,3.1%,4.4%,1.5%,1.5%,2.3%,0.7%,0.004,0.007,0.001,0.003,0.006,0.0007,8.13,10.44,5.78,1.95,2.45,1.41,0.81,0.69,0.94,0.07,0.07,0.08,2.45,2.73,2.25
