Time,Mapa,Wins,Losses,Win rate,Total rounds,Round win-% after getting first kill,Round win-% after receiving first death
G2,Inferno,25,10,0.7140000000000001,772,0.7509999999999999,0.33
G2,Anubis,19,13,0.594,671,0.7509999999999999,0.281
G2,Ancient,18,12,0.6,631,0.675,0.33399999999999996
G2,Nuke,21,8,0.7240000000000001,622,0.818,0.273
G2,Mirage,15,9,0.625,498,0.775,0.314
G2,Dust2,11,7,0.611,380,0.7609999999999999,0.285
G2,Vertigo,4,5,0.444,216,0.691,0.33
G2,Overpass,3,3,0.5,156,0.747,0.247
Spirit,Mirage,22,14,0.611,748,0.769,0.289
Spirit,Ancient,21,10,0.677,626,0.767,0.354
Spirit,Nuke,22,8,0.733,695,0.769,0.276
Spirit,Anubis,16,9,0.64,545,0.762,0.292
Spirit,Dust2,16,6,0.727,452,0.802,0.28800000000000003
Spirit,Vertigo,9,5,0.643,295,0.7659999999999999,0.319
Spirit,Overpass,3,0,1.0,47,0.966,0.611
Natus Vincere,Mirage,27,13,0.675,823,0.759,0.306
Natus Vincere,Ancient,21,12,0.636,700,0.743,0.305
Natus Vincere,Nuke,17,14,0.5479999999999999,672,0.752,0.259
Natus Vincere,Inferno,13,10,0.565,481,0.7,0.308
Natus Vincere,Anubis,14,7,0.667,484,0.772,0.32799999999999996
Natus Vincere,Dust2,13,4,0.765,362,0.759,0.314
Natus Vincere,Overpass,4,1,0.8,125,0.75,0.32299999999999995
Vitality,Mirage,21,9,0.7,696,0.7959999999999999,0.307
Vitality,Nuke,20,6,0.769,545,0.7759999999999999,0.368
Vitality,Inferno,14,10,0.583,552,0.725,0.326
Vitality,Anubis,12,12,0.5,533,0.701,0.289
Vitality,Dust2,16,7,0.696,467,0.787,0.341
Vitality,Vertigo,10,4,0.7140000000000001,318,0.718,0.355
Vitality,Overpass,2,2,0.5,76,0.7559999999999999,0.2
FaZe,Nuke,24,18,0.5710000000000001,934,0.737,0.306
FaZe,Ancient,21,13,0.618,769,0.732,0.33
FaZe,Mirage,21,12,0.636,729,0.757,0.29600000000000004
FaZe,Inferno,20,9,0.69,619,0.755,0.341
FaZe,Dust2,9,10,0.474,408,0.741,0.271
FaZe,Anubis,8,11,0.42100000000000004,424,0.745,0.276
FaZe,Overpass,4,4,0.5,177,0.67,0.27899999999999997
FaZe,Vertigo,3,2,0.6,114,0.696,0.368
MOUZ,Nuke,23,12,0.657,726,0.764,0.33799999999999997
MOUZ,Mirage,22,11,0.667,680,0.7859999999999999,0.337
MOUZ,Vertigo,13,10,0.565,554,0.772,0.27
MOUZ,Ancient,13,8,0.619,474,0.737,0.315
MOUZ,Inferno,10,9,0.526,438,0.743,0.282
MOUZ,Dust2,9,6,0.6,312,0.774,0.255
MOUZ,Overpass,6,2,0.75,180,0.807,0.304
The MongolZ,Ancient,35,13,0.7290000000000001,1092,0.769,0.33799999999999997
The MongolZ,Mirage,29,18,0.617,1026,0.7490000000000001,0.336
The MongolZ,Nuke,16,15,0.516,642,0.764,0.285
The MongolZ,Anubis,17,11,0.607,577,0.7659999999999999,0.303
The MongolZ,Inferno,18,6,0.75,597,0.759,0.34600000000000003
The MongolZ,Dust2,7,3,0.7,203,0.8220000000000001,0.294
The MongolZ,Overpass,4,0,1.0,90,0.804,0.341
HEROIC,Ancient,26,17,0.605,929,0.753,0.27699999999999997
HEROIC,Nuke,21,20,0.512,868,0.736,0.314
HEROIC,Mirage,26,13,0.667,851,0.711,0.332
HEROIC,Anubis,16,16,0.5,698,0.7390000000000001,0.307
HEROIC,Vertigo,13,11,0.542,586,0.69,0.318
HEROIC,Dust2,11,10,0.524,454,0.703,0.298
HEROIC,Overpass,5,4,0.556,196,0.721,0.293
Liquid,Inferno,25,14,0.6409999999999999,859,0.723,0.313
Liquid,Anubis,27,11,0.711,805,0.7809999999999999,0.33299999999999996
Liquid,Nuke,14,19,0.424,733,0.7509999999999999,0.276
Liquid,Ancient,27,5,0.8440000000000001,697,0.7609999999999999,0.369
Liquid,Mirage,13,13,0.5,523,0.74,0.26
Liquid,Dust2,7,8,0.467,312,0.6890000000000001,0.28
Liquid,Overpass,4,4,0.5,149,0.747,0.311
FURIA,Nuke,22,14,0.611,763,0.72,0.29600000000000004
FURIA,Mirage,13,18,0.419,654,0.682,0.237
FURIA,Inferno,15,9,0.625,530,0.725,0.293
FURIA,Dust2,13,7,0.65,449,0.7340000000000001,0.318
FURIA,Vertigo,10,10,0.5,433,0.727,0.316
FURIA,Ancient,7,8,0.467,319,0.665,0.261
FURIA,Anubis,5,6,0.455,219,0.648,0.272
FURIA,Overpass,3,4,0.429,148,0.634,0.273
Astralis,Ancient,17,11,0.607,595,0.79,0.28300000000000003
Astralis,Nuke,13,11,0.542,507,0.713,0.314
Astralis,Mirage,11,12,0.478,523,0.713,0.298
Astralis,Inferno,13,8,0.619,453,0.769,0.28800000000000003
Astralis,Vertigo,8,11,0.42100000000000004,426,0.693,0.27899999999999997
Astralis,Dust2,5,9,0.35700000000000004,283,0.746,0.174
Astralis,Overpass,7,1,0.875,179,0.762,0.37799999999999995
Eternal Fire,Nuke,16,12,0.5710000000000001,609,0.752,0.265
Eternal Fire,Inferno,16,11,0.593,594,0.722,0.314
Eternal Fire,Anubis,18,7,0.72,580,0.778,0.309
Eternal Fire,Mirage,10,13,0.435,493,0.6940000000000001,0.259
Eternal Fire,Vertigo,15,7,0.682,463,0.748,0.341
Eternal Fire,Dust2,10,7,0.588,401,0.675,0.385
Eternal Fire,Overpass,4,5,0.444,195,0.682,0.309
Eternal Fire,Ancient,0,2,0.0,45,0.636,0.217
MIBR,Anubis,32,21,0.604,1148,0.777,0.281
MIBR,Nuke,32,19,0.627,1056,0.737,0.307
MIBR,Vertigo,32,16,0.667,1011,0.746,0.34600000000000003
MIBR,Ancient,32,13,0.711,928,0.7759999999999999,0.31
MIBR,Mirage,12,23,0.34299999999999997,722,0.723,0.19
MIBR,Inferno,15,7,0.682,457,0.6940000000000001,0.391
MIBR,Dust2,1,1,0.5,49,0.765,0.312
paiN,Nuke,54,25,0.684,1649,0.7709999999999999,0.33
paiN,Anubis,42,20,0.677,1285,0.785,0.292
paiN,Vertigo,40,17,0.7020000000000001,1244,0.747,0.34
paiN,Mirage,29,19,0.604,1024,0.738,0.301
paiN,Inferno,28,14,0.667,962,0.752,0.324
paiN,Dust2,16,9,0.64,527,0.767,0.306
paiN,Overpass,2,2,0.5,82,0.8370000000000001,0.205
paiN,Ancient,2,0,1.0,39,0.8,0.222
Virtus.pro,Ancient,19,18,0.514,834,0.722,0.278
Virtus.pro,Mirage,17,8,0.68,545,0.726,0.32
Virtus.pro,Dust2,10,13,0.435,502,0.7040000000000001,0.282
Virtus.pro,Vertigo,9,14,0.391,513,0.708,0.237
Virtus.pro,Inferno,10,10,0.5,415,0.7,0.28800000000000003
Virtus.pro,Anubis,11,9,0.55,417,0.71,0.285
Virtus.pro,Overpass,11,6,0.647,375,0.763,0.294
3DMAX,Anubis,45,28,0.616,1540,0.745,0.309
3DMAX,Ancient,30,36,0.455,1413,0.706,0.258
3DMAX,Nuke,35,26,0.574,1346,0.74,0.313
3DMAX,Inferno,31,14,0.6890000000000001,1004,0.746,0.319
3DMAX,Dust2,20,12,0.625,747,0.7390000000000001,0.275
3DMAX,Vertigo,17,10,0.63,613,0.7440000000000001,0.28600000000000003
3DMAX,Overpass,7,6,0.5379999999999999,299,0.687,0.276
3DMAX,Mirage,0,2,0.0,32,0.429,0.12
Complexity,Anubis,18,14,0.562,675,0.727,0.282
Complexity,Vertigo,22,8,0.733,734,0.757,0.292
Complexity,Ancient,12,13,0.48,535,0.6759999999999999,0.28300000000000003
Complexity,Nuke,5,12,0.294,353,0.6729999999999999,0.22899999999999998
Complexity,Inferno,7,7,0.5,311,0.679,0.335
Complexity,Dust2,5,6,0.455,261,0.706,0.259
Complexity,Overpass,2,6,0.25,166,0.621,0.165
GamerLegion,Mirage,20,21,0.488,933,0.727,0.259
GamerLegion,Ancient,21,13,0.618,755,0.713,0.29100000000000004
GamerLegion,Nuke,15,16,0.484,661,0.701,0.267
GamerLegion,Anubis,15,16,0.484,706,0.703,0.284
GamerLegion,Vertigo,13,13,0.5,599,0.7,0.311
GamerLegion,Overpass,15,4,0.789,436,0.79,0.32299999999999995
GamerLegion,Inferno,7,10,0.41200000000000003,347,0.703,0.243
GamerLegion,Dust2,5,8,0.385,275,0.7090000000000001,0.243
BIG,Ancient,27,21,0.562,1075,0.708,0.32799999999999996
BIG,Anubis,11,16,0.40700000000000003,577,0.723,0.218
BIG,Vertigo,13,13,0.5,602,0.726,0.287
BIG,Dust2,12,10,0.545,471,0.6970000000000001,0.322
BIG,Mirage,7,12,0.368,397,0.696,0.223
BIG,Nuke,8,10,0.444,363,0.7140000000000001,0.23
BIG,Inferno,3,7,0.3,225,0.6609999999999999,0.273
BIG,Overpass,3,7,0.3,219,0.664,0.248
SAW,Nuke,39,15,0.722,1193,0.752,0.32299999999999995
SAW,Ancient,20,17,0.541,791,0.753,0.261
SAW,Anubis,16,14,0.5329999999999999,649,0.752,0.254
SAW,Vertigo,14,15,0.483,608,0.748,0.29
SAW,Inferno,14,11,0.56,552,0.721,0.28600000000000003
SAW,Dust2,9,7,0.562,339,0.718,0.297
